,pVal,phase,peak.shape,period,diel
SAR11_K04087,0.00270362153832771,12,12,24,YES
Actinobacteria_K00242,0.00271383601029372,16,8,24,YES
High-light Pro_K00876,0.00271383601029372,8,8,24,YES
SAR116_K02992,0.00276598499817446,4,8,24,YES
Crocosphaera_K03070,0.00277579116673633,24,16,24,YES
High-light Pro_K06182,0.00278187676556285,8,16,24,YES
Crocosphaera_K03271,0.00282539039905875,4,16,24,YES
SAR92_K03466,0.00282539039905875,4,16,24,YES
SAR92_K08300,0.00282539039905875,4,8,24,YES
Other Bacteroidetes_K00548,0.00283182888030649,12,8,24,YES
Crocosphaera_K02313,0.00287405050431955,16,12,24,YES
High-light Pro_K02884,0.00288511382378345,24,16,24,YES
SAR11_K00097,0.00293871906339969,12,12,24,YES
SAR116_K03821,0.00293871906339969,8,12,24,YES
High-light Pro_K00297,0.0029538172353796,4,16,24,YES
SAR116_K02116,0.0029538172353796,4,8,24,YES
SAR86_K00681,0.0029538172353796,4,8,24,YES
Actinobacteria_K02916,0.00297009955281335,24,12,24,YES
High-light Pro_K01895,0.00298810117982542,16,4,24,YES
Firmicutes_--,0.00299923040936883,24,16,24,YES
Crocosphaera_K03321,0.00300135419739064,16,12,24,YES
SAR116_K02358,0.00300135419739064,4,12,24,YES
Crocosphaera_K02961,0.00301625536122816,24,16,24,YES
Other Bacteroidetes_K00024,0.00301625536122816,16,8,24,YES
Roseobacter_K08929,0.00302686322706136,24,8,24,YES
SAR86_K03530,0.00302686322706136,4,8,24,YES
SAR86_K02881,0.00305626782593568,24,12,24,YES
Roseobacter_K00873,0.00306781462033203,24,16,24,YES
SAR11_K01895,0.00306781462033203,16,8,24,YES
Crocosphaera_K03553,0.00308224407170046,4,16,24,YES
Other Bacteroidetes_K00281,0.00308224407170046,12,16,24,YES
SAR11-like_K01141,0.00308224407170046,4,8,24,YES
SAR116_K02950,0.00308224407170046,4,8,24,YES
SAR324_K03686,0.00308224407170046,12,16,24,YES
Crocosphaera_K03592,0.00311153286485208,4,12,24,YES
Crocosphaera_K01889,0.00313532782289405,24,12,24,YES
Crocosphaera_K02838,0.00313532782289405,24,12,24,YES
Firmicutes_K00240,0.00313532782289405,16,4,24,YES
Crocosphaera_K03594,0.00313777938818113,16,12,24,YES
Roseobacter_K19670,0.00313777938818113,16,12,24,YES
SAR11_K02666,0.00313777938818113,4,12,24,YES
SAR116_K01039,0.00314452328336983,8,20,24,YES
SAR116_K03168,0.00315586943376629,4,16,24,YES
--_K00123,0.00318403014953413,12,12,24,YES
High-light Pro_K03684,0.00320950438931008,8,12,24,YES
Other Alphaproteobacteria_K03530,0.00321067090802131,4,8,24,YES
High-light Pro_K14330,0.00325218833171439,12,8,24,YES
OM60/NOR5_K03798,0.00325218833171439,12,8,24,YES
SAR86_K03544,0.00325296617689082,8,20,24,YES
Crocosphaera_K01090,0.00325641716273448,24,8,24,YES
Euryarchaeota_K13525,0.00329613593129545,16,4,24,YES
Roseobacter_K00161,0.00329931804439203,12,12,24,YES
SAR86_K00382,0.00329931804439203,8,16,24,YES
SAR86_K09989,0.00332875879269477,16,8,24,YES
SAR11-like_K00826,0.00339439948892955,4,4,24,YES
Crocosphaera_K01867,0.00340286015720935,24,12,24,YES
SAR86_K03553,0.00340967997356226,16,8,24,YES
SAR11-like_K01872,0.00341062976976209,16,12,24,YES
Euryarchaeota_K02952,0.00341796009061938,4,4,24,YES
High-light Pro_K01147,0.00344276665501777,12,4,24,YES
SAR92_K03695,0.00344276665501777,8,12,24,YES
--_K02950,0.00349088846497898,24,12,24,YES
SAR11_K03321,0.00349088846497898,8,12,24,YES
SAR86_K02946,0.00349088846497898,24,12,24,YES
Crocosphaera_K11603,0.00349565510589082,20,20,24,YES
SAR92_K09748,0.00353583280096828,4,4,24,YES
--_K10117,0.00355245508661943,24,8,24,YES
--_K13628,0.00355245508661943,8,16,24,YES
Crocosphaera_K00720,0.00356001847765403,12,8,24,YES
OM60/NOR5_K04087,0.00356001847765403,12,8,24,YES
SAR11_K03518,0.00356001847765403,16,8,24,YES
Eukaryota_K02892,0.00364956521338712,24,12,24,YES
High-light Pro_K00652,0.00364956521338712,12,12,24,YES
High-light Pro_K02231,0.00364956521338712,8,12,24,YES
Roseobacter_K03702,0.00364956521338712,8,12,24,YES
High-light Pro_K01693,0.00367638680976409,4,8,24,YES
SAR116_K02012,0.00367726611300701,4,4,24,YES
High-light Pro_K03531,0.00369070926848623,16,8,24,YES
Euryarchaeota_K02871,0.00369139689786893,4,4,24,YES
Eukaryota_K02692,0.00369792450107811,4,16,24,YES
Other Alphaproteobacteria_K02394,0.00369792450107811,4,8,24,YES
SAR116_K09487,0.00369792450107811,4,16,24,YES
Other Gammaproteobacteria_K02078,0.00369956285250724,24,12,24,YES
Crocosphaera_K09014,0.00371480188972594,16,16,24,YES
Crocosphaera_K11159,0.00371480188972594,8,8,24,YES
High-light Pro_K08300,0.00371480188972594,12,8,24,YES
SAR92_K02986,0.00371480188972594,24,16,24,YES
Crocosphaera_K03768,0.00380824196179526,24,12,24,YES
SAR92_K02600,0.00380824196179526,24,12,24,YES
Crocosphaera_K02871,0.00384849301050438,24,8,24,YES
Other Alphaproteobacteria_K15551,0.00385117488885519,24,12,24,YES
Crocosphaera_K13679,0.00385168745353693,4,4,24,YES
Crocosphaera_K01465,0.00386601197839984,4,16,24,YES
High-light Pro_K03153,0.00386601197839984,4,16,24,YES
Roseobacter_K00138,0.00386601197839984,4,8,24,YES
Other Bacteroidetes_K03569,0.00386772480034848,24,12,24,YES
SAR324_K02035,0.003897306636224,24,8,24,YES
High-light Pro_K00988,0.0039193892194596,8,20,24,YES
Other Gammaproteobacteria_K00123,0.00392806493912068,8,20,24,YES
Other Gammaproteobacteria_K02057,0.00398220167766929,16,4,24,YES
SAR116_K01649,0.00399878638718569,16,12,24,YES
Roseobacter_K09014,0.00401915212542984,8,12,24,YES
Crocosphaera_K02044,0.00403409945572157,4,16,24,YES
High-light Pro_K01739,0.00403409945572157,4,16,24,YES
Other Alphaproteobacteria_K02886,0.00403409945572157,4,8,24,YES
SAR92_K02913,0.00403409945572157,4,8,24,YES
Crocosphaera_K00441,0.00409885037125636,4,4,24,YES
SAR11-like_K00605,0.00412559545861153,24,12,24,YES
SAR11_K03568,0.00415487064545453,12,16,24,YES
SAR11-like_K02959,0.00416468829699431,4,16,24,YES
SAR92_K01923,0.00417915212594169,24,16,24,YES
Other Gammaproteobacteria_K02453,0.00418054940478504,4,12,24,YES
SAR92_K00348,0.00418054940478504,16,12,24,YES
SAR116_K03640,0.00418365961473535,24,12,24,YES
SAR11_K00265,0.0042021869330433,4,8,24,YES
SAR92_K01494,0.00420404869603095,4,12,24,YES
Euryarchaeota_K02936,0.00426963580339204,4,4,24,YES
High-light Pro_K08902,0.00426963580339204,4,4,24,YES
Crocosphaera_K01537,0.00429539544599904,16,8,24,YES
High-light Pro_K19221,0.00429539544599904,16,8,24,YES
SAR11_K03628,0.00429539544599904,4,16,24,YES
Crocosphaera_K02293,0.00430289238851702,24,8,24,YES
SAR11-like_K02198,0.00430507986233439,12,4,24,YES
Crocosphaera_K13789,0.00436231242238439,4,12,24,YES
Other Alphaproteobacteria_K02111,0.00436231242238439,4,12,24,YES
SAR86_K01262,0.00436231242238439,16,12,24,YES
High-light Pro_K00948,0.00437961988723621,16,4,24,YES
Crocosphaera_K00526,0.00443816963872575,16,8,24,YES
High-light Pro_K00058,0.00443816963872575,16,8,24,YES
Other Alphaproteobacteria_K07812,0.00443816963872575,12,8,24,YES
SAR11-like_K01681,0.00443816963872575,16,16,24,YES
SAR92_K05896,0.00443816963872575,24,16,24,YES
Firmicutes_K02783,0.00444042123552772,4,4,24,YES
SAR116_K00008,0.00447553441114971,12,12,24,YES
Other Alphaproteobacteria_K04771,0.00448215176973812,12,8,24,YES
SAR324_K04043,0.00448215176973812,12,16,24,YES
SAR92_K02390,0.00448215176973812,4,8,24,YES
Crocosphaera_K14441,0.00449847840617689,24,8,24,YES
Roseobacter_K02109,0.00449847840617689,8,16,24,YES
SAR86_K00658,0.00449847840617689,8,16,24,YES
SAR116_K03210,0.00453836188768677,4,8,24,YES
SAR11_K10019,0.00456985221035075,20,12,24,YES
Actinobacteria_K02717,0.00459892175341681,8,12,24,YES
Crocosphaera_K04651,0.00463990462230419,16,16,24,YES
Other Bacteroidetes_K01870,0.00463990462230419,16,16,24,YES
High-light Pro_K03657,0.00466201501161428,8,20,24,YES
SAR11-like_K03798,0.00466890809347721,12,8,24,YES
Euryarchaeota_K03113,0.00467730315732181,20,12,24,YES
High-light Pro_K03608,0.00467730315732181,8,12,24,YES
SAR92_K07304,0.00467730315732181,24,12,24,YES
--_K08300,0.00469406442383675,24,8,24,YES
Marinimicrobia_K07277,0.00469406442383675,24,8,24,YES
Flavobacteriia_K02520,0.00472583845758309,4,12,24,YES
SAR116_K11688,0.00474810814697613,4,16,24,YES
OM60/NOR5_K00239,0.00475011825921049,8,16,24,YES
Eukaryota_K00330,0.0047760452243012,8,12,24,YES
SAR11-like_K02012,0.00478199209979909,4,4,24,YES
OM60/NOR5_K00164,0.00481113917452898,12,16,24,YES
OM60/NOR5_K03521,0.00481113917452898,4,8,24,YES
SAR11_K07080,0.00481113917452898,4,8,24,YES
SAR11-like_K01626,0.00481113917452898,4,8,24,YES
SAR86_K01937,0.00481113917452898,4,8,24,YES
SAR92_K00958,0.00481113917452898,4,8,24,YES
Crocosphaera_K00281,0.00484163960588264,24,16,24,YES
High-light Pro_K01662,0.00484163960588264,8,8,24,YES
Marinimicrobia_K15987,0.00484163960588264,12,8,24,YES
Other Gammaproteobacteria_K01999,0.00484163960588264,16,16,24,YES
SAR92_K00382,0.00488640824582884,8,20,24,YES
Crocosphaera_K02078,0.00489354189819503,4,4,24,YES
Planctomycetes_K00266,0.00495454763162726,4,16,24,YES
SAR11-like_K00315,0.00499313818904216,16,8,24,YES
SAR11-like_K07147,0.00499313818904216,8,12,24,YES
SAR86_K06972,0.0050086894838926,8,16,24,YES
High-light Pro_K02066,0.00502982731882575,12,16,24,YES
High-light Pro_K03437,0.00502982731882575,4,16,24,YES
OM60/NOR5_K02982,0.00502982731882575,4,8,24,YES
SAR92_K02422,0.00502982731882575,4,8,24,YES
Crocosphaera_K01772,0.00504337458946108,16,16,24,YES
High-light Pro_K04079,0.00508565156371236,8,12,24,YES
Crocosphaera_K05572,0.00509886077825618,4,20,24,YES
Crocosphaera_K05979,0.00509886077825618,4,4,24,YES
SAR116_K07080,0.00509886077825618,4,4,24,YES
SAR86_K02939,0.00509886077825618,24,4,24,YES
Crocosphaera_K01621,0.00510251253526015,20,12,24,YES
Crocosphaera_K03544,0.00510251253526015,24,12,24,YES
High-light Pro_K03687,0.00510251253526015,8,12,24,YES
SAR86_K00800,0.00511799271339763,16,12,24,YES
Actinobacteria_K00239,0.00516414998252665,12,12,24,YES
Crocosphaera_K03841,0.00516414998252665,16,12,24,YES
Crocosphaera_K04079,0.00524510957303952,24,16,24,YES
Roseobacter_K00496,0.0052465610524075,12,8,24,YES
Crocosphaera_K03664,0.00529144956172505,16,12,24,YES
SAR11-like_K02954,0.00531511722422933,8,12,24,YES
Roseobacter_K01915,0.00535062874582479,24,4,24,YES
High-light Pro_K02690,0.0054672036074193,4,16,24,YES
SAR86_K01623,0.0054672036074193,4,8,24,YES
Low-light Pro_K12574,0.0055277219131985,8,12,24,YES
SAR116_K06891,0.0055277219131985,8,12,24,YES
--_K02396,0.00553196999634892,4,12,24,YES
Crocosphaera_K03087,0.00553196999634892,4,12,24,YES
SAR86_K02115,0.00553196999634892,4,12,24,YES
SAR92_K07040,0.00553196999634892,4,12,24,YES
SAR92_K18473,0.00553196999634892,4,12,24,YES
SAR92_K02520,0.00555158233347267,8,4,24,YES
Roseobacter_K04564,0.00558326477825196,4,20,24,YES
Other Alphaproteobacteria_K06136,0.00563412200297317,24,8,24,YES
SAR86_K01669,0.00563412200297317,12,8,24,YES
SAR86_K02275,0.00570109827469958,12,8,24,YES
Crocosphaera_K03273,0.00574010648311252,4,16,24,YES
Crocosphaera_K02902,0.0057481010086391,24,16,24,YES
SAR92_K00974,0.0057481010086391,16,8,24,YES
Crocosphaera_K01533,0.00577249043097278,16,12,24,YES
Crocosphaera_K06860,0.00577249043097278,4,12,24,YES
SAR324_K01251,0.00579052095611739,8,20,24,YES
High-light Pro_K11145,0.0058790838291894,24,16,24,YES
Roseobacter_K01299,0.00590548807633055,8,16,24,YES
SAR86_K02258,0.00590548807633055,8,16,24,YES
Crocosphaera_K05575,0.00597862712835518,16,4,24,YES
Crocosphaera_K02592,0.0060093783272136,16,16,24,YES
Crocosphaera_K19032,0.0060093783272136,24,16,24,YES
Flavobacteriia_K02337,0.0060093783272136,16,8,24,YES
SAR86_K01698,0.00601301086559665,16,12,24,YES
Other Alphaproteobacteria_K03076,0.00610828085383752,16,4,24,YES
SAR92_K01937,0.00612326804030961,4,8,24,YES
SAR11_K01920,0.00615385981533085,12,12,24,YES
SAR92_K04487,0.00615385981533085,8,12,24,YES
--_K07499,0.00616224842747536,8,16,24,YES
Other Bacteroidetes_K03040,0.00622157767806231,8,12,24,YES
SAR116_K07390,0.00624422616100067,12,8,24,YES
SAR92_K03932,0.00624422616100067,16,8,24,YES
High-light Pro_K00595,0.00627065564578811,16,16,24,YES
SAR11-like_K01916,0.00627065564578811,8,8,24,YES
SAR324_K02358,0.00627065564578811,12,8,24,YES
--_K04488,0.00629479379734572,16,4,24,YES
Roseobacter_K04088,0.00629479379734572,12,4,24,YES
SUP05/ARCTIC96BD-19_K02055,0.00629479379734572,16,20,24,YES
SAR11_K00826,0.00629570358790205,16,12,24,YES
SAR116_K00826,0.00631693195212806,4,4,24,YES
High-light Pro_K03695,0.00636900748162185,8,16,24,YES
SAR92_K01962,0.00642918655647249,4,16,24,YES
Other Alphaproteobacteria_K03386,0.0064335807160277,12,12,24,YES
Roseobacter_K03694,0.00650437666342878,12,12,24,YES
SAR86_K04752,0.00650437666342878,24,12,24,YES
SAR92_K02394,0.00650437666342878,24,12,24,YES
Eukaryota_K00336,0.00650593235378163,4,16,24,YES
High-light Pro_K01951,0.00650593235378163,4,8,24,YES
High-light Pro_K02698,0.00650593235378163,4,16,24,YES
SAR86_K02622,0.00650593235378163,4,16,24,YES
SAR11_K01937,0.00653193296436261,12,8,24,YES
SAR324_K00284,0.00653193296436261,16,8,24,YES
SAR86_K00350,0.00653193296436261,12,8,24,YES
Crocosphaera_K02018,0.00656942983085432,16,12,24,YES
Crocosphaera_K03671,0.0065801374501334,4,4,24,YES
Euryarchaeota_K03432,0.00671330161672456,8,20,24,YES
High-light Pro_K00392,0.00671330161672456,8,12,24,YES
--_K17236,0.00678717564879524,24,12,24,YES
Crocosphaera_K00937,0.00678717564879524,24,12,24,YES
High-light Pro_K02341,0.00678717564879524,24,12,24,YES
High-light Pro_K03072,0.00678717564879524,24,12,24,YES
Roseobacter_K06204,0.00678717564879524,12,12,24,YES
Other Alphaproteobacteria_K03320,0.00678879897785909,4,8,24,YES
SAR11_K14981,0.00678879897785909,4,8,24,YES
SAR116_K02002,0.00678879897785909,4,8,24,YES
Crocosphaera_K00790,0.00680572031441871,4,12,24,YES
Crocosphaera_K02687,0.00680572031441871,12,20,24,YES
Roseobacter_K00164,0.00689838263012522,12,16,24,YES
SAR92_K01903,0.00690978924883122,12,12,24,YES
Other Alphaproteobacteria_K06147,0.00693165003035993,12,12,24,YES
High-light Pro_K00286,0.00705365915539897,16,16,24,YES
SAR92_K02410,0.00706997463416171,24,12,24,YES
--_--,0.00707166560193655,4,8,24,YES
Cyanothece_--,0.0071016211976543,4,12,24,YES
SAR116_K02078,0.00710654844614407,4,20,24,YES
SAR92_K01902,0.00711688231675884,16,4,24,YES
--_K02276,0.00722387057832355,20,8,24,YES
Flavobacteriia_K02274,0.00722387057832355,12,12,24,YES
Other Bacteroidetes_K00161,0.00727160760297021,4,12,24,YES
High-light Pro_K03797,0.00734031284729255,12,16,24,YES
SAR86_K03086,0.00734031284729255,8,16,24,YES
Crocosphaera_K03576,0.00735277361952818,24,12,24,YES
SAR11-like_K00410,0.00735277361952818,8,12,24,YES
SAR92_K02393,0.00735277361952818,24,12,24,YES
SAR86_K02888,0.00735453222601402,4,8,24,YES
Crocosphaera_K01951,0.00736844556328804,24,8,24,YES
Crocosphaera_K03474,0.00736844556328804,24,8,24,YES
SAR11-like_K00643,0.00738141853697246,16,4,24,YES
Eukaryota_K02689,0.00739912570501447,12,8,24,YES
High-light Pro_K03179,0.00739912570501447,16,16,24,YES
Roseobacter_K02078,0.00745084599513709,24,8,24,YES
Crocosphaera_K02033,0.00758776445527326,4,12,24,YES
Crocosphaera_K03610,0.00758776445527326,4,12,24,YES
SAR92_K02952,0.00759995125560131,4,8,24,YES
Other Gammaproteobacteria_K13628,0.00763739885009148,12,16,24,YES
High-light Pro_K03545,0.00764413803059914,4,12,24,YES
Flavobacteriia_K00161,0.00765945688413136,16,8,24,YES
Crocosphaera_K05579,0.00770234977771039,12,4,24,YES
SUP05/ARCTIC96BD-19_K02035,0.00770234977771039,16,4,24,YES
SAR11-like_K13482,0.00770337490707386,24,8,24,YES
Crocosphaera_K01653,0.00773544960069695,16,16,24,YES
Roseobacter_K01716,0.00773544960069695,16,8,24,YES
SAR11_K03110,0.00773544960069695,24,16,24,YES
SAR116_K02529,0.00773544960069695,16,16,24,YES
SAR86_K03529,0.00773544960069695,16,8,24,YES
SAR92_K03657,0.00773544960069695,16,16,24,YES
SAR116_K02990,0.00776860042240425,4,8,24,YES
High-light Pro_K00627,0.00780528270125084,12,8,24,YES
Other Alphaproteobacteria_K07305,0.00780528270125084,12,16,24,YES
Roseobacter_K00266,0.0078520332373082,4,8,24,YES
SAR11-like_K00123,0.00790392130757632,16,12,24,YES
Crocosphaera_K02276,0.00794540358540138,16,16,24,YES
Other Alphaproteobacteria_K18138,0.00794540358540138,20,8,24,YES
Crocosphaera_K04655,0.00796350207045451,16,12,24,YES
High-light Pro_K00791,0.00800352274123285,4,16,24,YES
Crocosphaera_K00748,0.00803830425085969,24,8,24,YES
Crocosphaera_K02435,0.00803830425085969,24,8,24,YES
Flavobacteriia_K03797,0.00803830425085969,24,8,24,YES
High-light Pro_K02335,0.00803830425085969,8,16,24,YES
Marinimicrobia_K00349,0.00803830425085969,8,16,24,YES
Flavobacteriia_K02609,0.00807177349637943,12,8,24,YES
SAR11_K00338,0.00807177349637943,8,8,24,YES
SAR11_K03336,0.00807177349637943,16,8,24,YES
Other Bacteroidetes_K01955,0.00814437447178336,12,16,24,YES
SAR11_K00335,0.00814437447178336,8,16,24,YES
SAR11_K00311,0.00829085591520143,12,16,24,YES
Crocosphaera_K02968,0.00830974129090905,24,12,24,YES
Eukaryota_K02256,0.00830974129090905,12,12,24,YES
High-light Pro_K00278,0.00830974129090905,12,12,24,YES
Other Gammaproteobacteria_K04752,0.00831728272005539,16,12,24,YES
Crocosphaera_K00858,0.00834421225918625,8,4,24,YES
Roseobacter_K00643,0.00834421225918625,20,20,24,YES
OM60/NOR5_K02878,0.00836731922947071,4,8,24,YES
Crocosphaera_K02992,0.00837323359464551,24,8,24,YES
--_K07486,0.0084080973920619,8,8,24,YES
Crocosphaera_K02965,0.0084080973920619,24,16,24,YES
Eukaryota_K03935,0.0084080973920619,12,8,24,YES
High-light Pro_K00796,0.00844416437848534,4,20,24,YES
SAR92_K00800,0.00846219335422531,16,8,24,YES
OM60/NOR5_K04079,0.00849847770968698,8,16,24,YES
SAR324_K00240,0.00849847770968698,16,16,24,YES
Crocosphaera_K03529,0.00853623501218242,4,12,24,YES
Crocosphaera_K01414,0.00859079089199807,8,12,24,YES
Other Gammaproteobacteria_K03593,0.00859079089199807,12,12,24,YES
Roseobacter_K07157,0.00859079089199807,8,12,24,YES
SAR11-like_K02338,0.00859079089199807,12,12,24,YES
SAR116_K03519,0.00859079089199807,12,12,24,YES
SAR86_K12267,0.00859079089199807,8,12,24,YES
--_K00989,0.00859861547294465,8,12,24,YES
SAR86_K01902,0.00859861547294465,8,12,24,YES
Crocosphaera_K10255,0.00861015972466878,4,12,24,YES
High-light Pro_K03439,0.00861015972466878,4,12,24,YES
Other Alphaproteobacteria_K00303,0.00861015972466878,16,12,24,YES
Crocosphaera_K05384,0.00865109192278666,24,16,24,YES
SAR116_K03797,0.0086559805113636,16,4,24,YES
Firmicutes_K02396,0.00873111571770857,4,16,24,YES
SAR92_K02961,0.00873111571770857,4,8,24,YES
OM60/NOR5_K07516,0.00885239186448548,16,12,24,YES
Roseobacter_K00336,0.00885710837212657,12,8,24,YES
Crocosphaera_K01673,0.00896430353947625,24,12,24,YES
SAR86_K02109,0.00896430353947625,20,12,24,YES
SAR92_K16092,0.00896430353947625,24,12,24,YES
Crocosphaera_K01358,0.00898451449530656,24,20,24,YES
SAR324_K11069,0.00898451449530656,4,4,24,YES
SAR92_K04562,0.00900221973181814,4,12,24,YES
Roseobacter_K02002,0.00908074518342685,16,16,24,YES
SAR11_K02996,0.0090871827567505,4,8,24,YES
SAR92_K00479,0.0090871827567505,8,16,24,YES
SAR324_K06204,0.00918093638799574,8,20,24,YES
Roseobacter_K02051,0.0092422000404799,24,12,24,YES
--_K03743,0.00933781618695442,12,12,24,YES
Actinobacteria_K03522,0.00933781618695442,12,12,24,YES
Other Gammaproteobacteria_K04088,0.0093888951945459,16,4,24,YES
SAR11-like_K02000,0.00941849103754134,4,4,24,YES
Other Alphaproteobacteria_K02058,0.00949621629395225,16,12,24,YES
High-light Pro_K10697,0.00950023651842097,8,8,24,YES
Other Gammaproteobacteria_K02387,0.00950023651842097,4,8,24,YES
SAR92_K03770,0.00950023651842097,4,8,24,YES
OM60/NOR5_K02469,0.00957650887249852,12,8,24,YES
SAR116_K00240,0.00957650887249852,12,8,24,YES
Other Alphaproteobacteria_K02027,0.0095801075352999,4,4,24,YES
Other Alphaproteobacteria_K03553,0.0095801075352999,4,20,24,YES
Roseobacter_K10960,0.0095801075352999,24,4,24,YES
SAR116_K02888,0.00958184075179454,4,12,24,YES
SAR92_K00249,0.00958184075179454,16,4,24,YES
High-light Pro_K02011,0.00971915223362787,4,16,24,YES
Crocosphaera_K09969,0.009740971225601,4,8,24,YES
--_K02946,0.00989795413317608,24,16,24,YES
Actinobacteria_K02982,0.00989795413317608,16,8,24,YES
Crocosphaera_K01879,0.00989795413317608,16,16,24,YES
Crocosphaera_K01945,0.00989795413317608,24,16,24,YES
High-light Pro_K03582,0.00989795413317608,16,16,24,YES
Other Gammaproteobacteria_K00254,0.00989795413317608,20,16,24,YES
Euryarchaeota_K02470,0.00989844297131567,12,16,24,YES
Crocosphaera_K02897,0.00991329028009145,24,8,24,YES
SAR116_K01916,0.00991329028009145,8,16,24,YES
Crocosphaera_K01297,0.00998627637808432,24,8,24,YES
Crocosphaera_K00703,0.0100173789677852,4,12,24,YES
Crocosphaera_K02233,0.0100173789677852,16,12,24,YES
SAR92_K00606,0.0100173789677852,16,12,24,YES
Crocosphaera_K15633,0.0100848414819108,20,12,24,YES
SAR92_K03574,0.0100848414819108,24,12,24,YES
Roseobacter_K00382,0.0101713031274247,16,4,24,YES
Crocosphaera_K14330,0.0101837426449465,4,16,24,YES
Crocosphaera_K04751,0.0103282999650533,16,8,24,YES
SAR116_K01892,0.0103282999650533,8,8,24,YES
SAR86_K00164,0.0103282999650533,12,8,24,YES
High-light Pro_K01626,0.0103646838732468,24,12,24,YES
SAR86_K01081,0.0103784498299082,8,20,24,YES
Other Alphaproteobacteria_K03418,0.0103966034000692,16,16,24,YES
SAR92_K01945,0.0103981698313322,20,8,24,YES
SAR92_K00412,0.0104204623075662,8,16,24,YES
SAR86_K00432,0.0104346038663862,8,20,24,YES
High-light Pro_K00942,0.0104535898513422,4,16,24,YES
Other Alphaproteobacteria_K01652,0.010493122104815,20,12,24,YES
Rivulariaceae_K10439,0.0105225128820202,16,20,24,YES
SAR92_K02965,0.010626514064292,24,16,24,YES
Other Alphaproteobacteria_K00335,0.0107012574916496,12,16,24,YES
SAR92_--,0.0107012574916496,4,8,24,YES
Crocosphaera_K03650,0.0107348532018591,4,12,24,YES
High-light Pro_K00133,0.0107348532018591,4,12,24,YES
Crocosphaera_K02715,0.0107764237096373,4,12,24,YES
Roseobacter_K02939,0.0107776209772124,4,20,24,YES
SAR86_K06204,0.0107776209772124,4,4,24,YES
SAR116_K03338,0.0108358058674853,16,12,24,YES
Other Alphaproteobacteria_K10547,0.0108485677894429,8,16,24,YES
--_K07516,0.0108546482370482,8,16,24,YES
Actinobacteria_K04488,0.0108546482370482,8,16,24,YES
Other Gammaproteobacteria_K00940,0.0108884553997665,8,12,24,YES
Other Alphaproteobacteria_K03770,0.0109286289644355,24,20,24,YES
Flavobacteriia_K02892,0.0109561584610401,16,8,24,YES
High-light Pro_K03474,0.0109561584610401,4,20,24,YES
SAR11-like_K03704,0.0111665295565039,4,8,24,YES
SAR86_K01872,0.0111665295565039,4,8,24,YES
SAR92_K02358,0.0111665295565039,4,8,24,YES
SAR92_K02409,0.0111665295565039,4,8,24,YES
SAR92_K10943,0.0111665295565039,4,8,24,YES
Planctomycetes_K02986,0.0111889916288077,16,8,24,YES
Roseobacter_K03686,0.0111889916288077,12,8,24,YES
High-light Pro_K03583,0.0112662611509845,24,16,24,YES
High-light Pro_K03154,0.0112682440059463,12,12,24,YES
Other Alphaproteobacteria_K00826,0.0112682440059463,12,12,24,YES
SAR11_K02655,0.0112682440059463,20,12,24,YES
SAR116_K00605,0.0112682440059463,8,12,24,YES
Flavobacteriia_K02110,0.0113069278617238,12,12,24,YES
High-light Pro_K01883,0.0113120039148563,12,4,24,YES
Crocosphaera_K01687,0.011619337460685,16,16,24,YES
SAR324_K03431,0.0116318016213582,4,16,24,YES
Other Alphaproteobacteria_K06890,0.0116364945081972,8,12,24,YES
SAR116_K06991,0.0117290960100295,8,20,24,YES
Crocosphaera_K05370,0.0117581676583788,24,12,24,YES
OM60/NOR5_K01497,0.0117581676583788,24,12,24,YES
Other Alphaproteobacteria_K03702,0.0117581676583788,24,12,24,YES
SAR92_K03701,0.0117581676583788,12,12,24,YES
Crocosphaera_K01929,0.0118393480448052,4,4,24,YES
Roseobacter_K04077,0.0118929761307436,12,8,24,YES
SAR324_K10112,0.0119647377870247,24,8,24,YES
Crocosphaera_K03969,0.0121839514811266,4,12,24,YES
Other Gammaproteobacteria_K03518,0.0122178083437808,8,20,24,YES
High-light Pro_K02904,0.0123226075665723,4,12,24,YES
SAR11-like_K03335,0.0123226075665723,16,12,24,YES
Other Alphaproteobacteria_K02030,0.0123523795951824,16,20,24,YES
SAR116_K03520,0.0124632685281508,16,8,24,YES
Rivulariaceae_K03047,0.0125328775251754,4,4,24,YES
SAR11_K07088,0.0125328775251754,16,12,24,YES
--_K02456,0.0125623457510669,4,16,24,YES
Euryarchaeota_K09815,0.0127080250556599,12,12,24,YES
Eukaryota_K02911,0.0127202938444393,4,8,24,YES
Other Gammaproteobacteria_K00208,0.0127380149632437,20,12,24,YES
SAR11_K00330,0.0127380149632437,8,12,24,YES
SAR11_K03797,0.012858373112945,16,12,24,YES
Other Alphaproteobacteria_K00122,0.0128604320681126,12,12,24,YES
Roseobacter_K03070,0.0128604320681126,4,8,24,YES
High-light Pro_K03639,0.0128737947307475,8,20,24,YES
Other Alphaproteobacteria_K03088,0.0129748184806864,24,16,24,YES
SAR92_K03981,0.0129748184806864,16,8,24,YES
SAR11-like_K08311,0.0130196388623662,4,8,24,YES
SAR116_K09860,0.0130196388623662,4,8,24,YES
Other Alphaproteobacteria_K01868,0.0131388596617086,24,16,24,YES
SAR86_K00346,0.0131388596617086,16,8,24,YES
SAR86_K02926,0.0132279386156761,24,12,24,YES
